applicant_id,age,gender,county_name,education_level,program_id,program_name,application_date,application_status,drop_off_reason
APP00001,33,Female,Mombasa,Bachelor's,P007,Women Digital Skills,8/9/2025,Applied,Incomplete Application
APP00002,23,Female,Kwale,Diploma,P002,Technovation,4/24/2025,Interviewed,Cohort Full
APP00003,30,Female,Nairobi,Diploma,P005,Django Girls,2/27/2024,Enrolled,
APP00004,29,Female,Nakuru,Master's,P004,Africa Code Week,8/13/2025,Applied,Did Not Meet Requirements
APP00005,18,Female,Nairobi,KCSE,P002,Technovation,7/21/2024,Interviewed,Cohort Full
APP00006,18,Male,Kisumu,KCSE,P004,Africa Code Week,4/4/2024,Applied,Gender Mismatch
APP00007,32,Female,Nairobi,Bachelor's,P002,Technovation,7/10/2025,Applied,Incomplete Application
APP00008,20,Female,Nakuru,KCSE,P004,Africa Code Week,3/10/2024,Qualified,Interview Slots Full
APP00009,24,Female,Nakuru,KCSE,P003,Code Hack,9/3/2025,Qualified,Interview Slots Full
APP00010,19,Female,Kisumu,KCSE,P003,Code Hack,3/15/2025,Qualified,Could Not Be Reached
APP00011,27,Female,Tana River,Certificate,P004,Africa Code Week,8/3/2024,Qualified,No Response
APP00012,22,Male,Nakuru,KCSE,P001,STEM Cafe Kenya,4/24/2025,Applied,Gender Mismatch
APP00013,18,Female,Tana River,Diploma,P001,STEM Cafe Kenya,6/24/2025,Interviewed,Low Interview Score
APP00014,31,Female,Mombasa,Master's,P006,Mombasa Girls in STEM,4/18/2025,Qualified,Interview Slots Full
APP00015,23,Female,Nairobi,Diploma,P002,Technovation,8/10/2025,Interviewed,Cohort Full
APP00016,18,Female,Kwale,KCSE,P006,Mombasa Girls in STEM,7/2/2024,Applied,Did Not Meet Requirements
APP00017,26,Female,Mombasa,Certificate,P006,Mombasa Girls in STEM,1/27/2025,Applied,Incomplete Application
APP00018,32,Female,Kilifi,Bachelor's,P004,Africa Code Week,9/14/2024,Qualified,No Response
APP00019,27,Female,Taita Taveta,Diploma,P006,Mombasa Girls in STEM,9/6/2025,Applied,Did Not Meet Requirements
APP00020,25,Female,Nairobi,KCSE,P001,STEM Cafe Kenya,8/10/2025,Qualified,Interview Slots Full
APP00021,22,Female,Taita Taveta,KCSE,P002,Technovation,1/28/2024,Qualified,Could Not Be Reached
APP00022,20,Female,Mombasa,KCSE,P004,Africa Code Week,4/16/2025,Applied,Incomplete Application
APP00023,25,Female,Nairobi,Certificate,P004,Africa Code Week,6/15/2025,Applied,Incomplete Application
APP00024,24,Female,Lamu,KCSE,P005,Django Girls,2/17/2024,Applied,Incomplete Application
APP00025,25,Female,Kwale,Certificate,P004,Africa Code Week,9/12/2025,Applied,Did Not Meet Requirements
APP00026,26,Female,Mombasa,Diploma,P003,Code Hack,7/26/2025,Qualified,No Response
APP00027,24,Female,Nairobi,Bachelor's,P005,Django Girls,3/30/2025,Qualified,No Response
APP00028,25,Male,Kisumu,KCSE,P004,Africa Code Week,1/27/2025,Applied,Gender Mismatch
APP00029,24,Female,Kilifi,KCSE,P006,Mombasa Girls in STEM,9/8/2025,Applied,Incomplete Application
APP00030,24,Female,Taita Taveta,Diploma,P002,Technovation,4/15/2025,Qualified,No Response
APP00031,35,Female,Nairobi,Bachelor's,P005,Django Girls,3/16/2025,Qualified,Could Not Be Reached
APP00032,23,Female,Taita Taveta,Certificate,P003,Code Hack,3/18/2025,Applied,Incomplete Application
APP00033,19,Female,Kisumu,Certificate,P005,Django Girls,2/26/2024,Qualified,Interview Slots Full
APP00034,25,Female,Nakuru,Diploma,P008,Web Development Classes,7/10/2024,Applied,Did Not Meet Requirements
APP00035,25,Female,Mombasa,KCSE,P004,Africa Code Week,4/23/2025,Enrolled,
APP00036,29,Female,Nairobi,Bachelor's,P002,Technovation,9/29/2024,Applied,Did Not Meet Requirements
APP00037,24,Female,Mombasa,Diploma,P008,Web Development Classes,1/14/2024,Interviewed,Cohort Full
APP00038,34,Male,Kwale,Bachelor's,P005,Django Girls,6/27/2025,Applied,Gender Mismatch
APP00039,34,Female,Nairobi,Bachelor's,P004,Africa Code Week,6/25/2024,Qualified,Could Not Be Reached
APP00040,25,Female,Taita Taveta,Diploma,P005,Django Girls,2/15/2024,Interviewed,Declined Offer
APP00041,22,Female,Lamu,KCSE,P006,Mombasa Girls in STEM,7/4/2025,Applied,Did Not Meet Requirements
APP00042,18,Female,Tana River,KCSE,P005,Django Girls,3/7/2025,Applied,Incomplete Application
APP00043,26,Female,Kisumu,Bachelor's,P003,Code Hack,9/22/2024,Qualified,No Response
APP00044,24,Female,Mombasa,Diploma,P004,Africa Code Week,6/1/2025,Interviewed,Cohort Full
APP00045,30,Female,Mombasa,Bachelor's,P002,Technovation,6/1/2025,Applied,Incomplete Application
APP00046,25,Female,Nakuru,KCSE,P001,STEM Cafe Kenya,7/13/2025,Interviewed,Declined Offer
APP00047,30,Female,Kisumu,Bachelor's,P008,Web Development Classes,8/19/2024,Applied,Did Not Meet Requirements
APP00048,32,Female,Mombasa,Diploma,P006,Mombasa Girls in STEM,7/7/2024,Qualified,Interview Slots Full
APP00049,23,Female,Kilifi,Diploma,P002,Technovation,2/7/2024,Qualified,No Response
APP00050,32,Female,Mombasa,Diploma,P001,STEM Cafe Kenya,9/30/2025,Interviewed,Cohort Full
APP00051,25,Female,Mombasa,Certificate,P003,Code Hack,6/11/2025,Enrolled,
APP00052,32,Female,Mombasa,Bachelor's,P004,Africa Code Week,2/20/2025,Qualified,No Response
